,,c0,c0,c0,c0,c0,h0,h0,h0,h0,h0,h1,h1,h1,h1,h1,h2,h2,h2,h2,h2,op,op,op,op,op,all,all,all,all,all
error_type,,-1,0,1,2,3,-1,0,1,2,3,-1,0,1,2,3,-1,0,1,2,3,-1,0,1,2,3,-1,0,1,2,3
model_seed,error_profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,LIM_01-2188,0.9044,0.9922,0.9451,0.9922,0.9922,0.9917,0.9922,0.9914,0.9922,0.9919,0.9922,0.9922,0.9917,0.9922,0.9922,0.9828,0.9922,0.9828,0.9922,0.9922,0.9909,0.9922,0.9917,0.9914,0.9922,0.8911,0.9922,0.9344,0.9911,0.9922
1023,LIM_01-3987,0.8523,0.9922,0.8346,0.9922,0.9922,0.9911,0.9922,0.9914,0.9922,0.9922,0.9922,0.9922,0.9917,0.9919,0.9922,0.9818,0.9922,0.9831,0.9922,0.9922,0.9893,0.9922,0.9901,0.9922,0.9919,0.8383,0.9922,0.8219,0.9919,0.9919
1023,LIM_01-4981,0.9029,0.9922,0.9057,0.9922,0.9922,0.9911,0.9922,0.9919,0.9922,0.9922,0.9922,0.9919,0.9919,0.9922,0.9922,0.9823,0.9919,0.9826,0.9922,0.9922,0.9893,0.9922,0.9914,0.9922,0.9919,0.8906,0.9917,0.8964,0.9917,0.9919
1023,LIM_01-6404,0.9188,0.9922,0.9128,0.9922,0.9922,0.9914,0.9922,0.9917,0.9922,0.9922,0.9919,0.9922,0.9922,0.9922,0.9922,0.9849,0.9922,0.9839,0.9919,0.9922,0.9917,0.9922,0.9904,0.9919,0.9922,0.9128,0.9919,0.8987,0.9917,0.9922
1023,LIM_01-9387,0.8562,0.9922,0.8951,0.9922,0.9922,0.9909,0.9922,0.9914,0.9922,0.9922,0.9922,0.9922,0.9922,0.9922,0.9922,0.9826,0.9919,0.9852,0.9922,0.9917,0.9893,0.9922,0.9904,0.9922,0.9917,0.8448,0.9919,0.8875,0.9922,0.9911
1023,LIM_02-2188,0.7609,0.9922,0.8234,0.9922,0.9922,0.9906,0.9922,0.9901,0.9922,0.9922,0.9922,0.9922,0.9922,0.9919,0.9917,0.975,0.9919,0.9771,0.9924,0.9924,0.9885,0.9922,0.9885,0.9919,0.9919,0.7302,0.9919,0.8062,0.9919,0.9914
1023,LIM_02-3987,0.7641,0.9922,0.7661,0.9922,0.9922,0.9904,0.9922,0.9906,0.9922,0.9922,0.9919,0.9922,0.9922,0.9917,0.9922,0.9755,0.9917,0.9732,0.9917,0.9922,0.9883,0.9922,0.9896,0.9917,0.9919,0.7352,0.9919,0.7484,0.9909,0.9917
1023,LIM_02-4981,0.7695,0.9922,0.7745,0.9922,0.9922,0.9911,0.9922,0.9914,0.9919,0.9919,0.9922,0.9922,0.9914,0.9922,0.9914,0.9734,0.9922,0.9714,0.9919,0.9924,0.9891,0.9922,0.9883,0.9922,0.9919,0.7513,0.9919,0.7435,0.9919,0.9917
1023,LIM_02-6404,0.8073,0.9922,0.8594,0.9922,0.9922,0.9914,0.9922,0.9909,0.9922,0.9922,0.9917,0.9922,0.9919,0.9919,0.9922,0.9768,0.9919,0.9758,0.9922,0.9919,0.9883,0.9922,0.987,0.9917,0.9922,0.7904,0.9919,0.8339,0.9911,0.9917
1023,LIM_02-9387,0.7617,0.9922,0.7932,0.9922,0.9922,0.9906,0.9919,0.9909,0.9922,0.9922,0.9922,0.9922,0.9919,0.9919,0.9922,0.9724,0.9919,0.9766,0.9919,0.9922,0.9872,0.9922,0.9896,0.9914,0.9924,0.7349,0.9917,0.7711,0.9911,0.9924
1023,LIM_05-2188,0.5812,0.9922,0.6206,0.9922,0.9922,0.9888,0.9917,0.9906,0.9922,0.9917,0.9919,0.9919,0.9919,0.9919,0.9919,0.9523,0.9919,0.9557,0.9924,0.9919,0.9839,0.9922,0.9828,0.9922,0.9911,0.5318,0.9911,0.5854,0.9922,0.9898
1023,LIM_05-3987,0.4648,0.9922,0.5156,0.9922,0.9922,0.9904,0.9919,0.9893,0.9922,0.9922,0.9911,0.9914,0.9914,0.9919,0.9914,0.9552,0.9922,0.9529,0.9919,0.9919,0.9818,0.9922,0.9836,0.9906,0.9917,0.4208,0.9917,0.4768,0.9906,0.9901
1023,LIM_05-4981,0.5419,0.9922,0.5534,0.9922,0.9922,0.9893,0.9922,0.9906,0.9922,0.9914,0.9917,0.9922,0.9917,0.9917,0.9919,0.9482,0.9919,0.9484,0.9904,0.9919,0.9833,0.9922,0.988,0.9917,0.9917,0.4966,0.9917,0.5117,0.9901,0.9906
1023,LIM_05-6404,0.6417,0.9922,0.6831,0.9922,0.9922,0.9904,0.9922,0.9888,0.9917,0.9922,0.9914,0.9919,0.9914,0.9917,0.9922,0.9536,0.9919,0.949,0.9914,0.9911,0.9846,0.9922,0.9852,0.9914,0.9911,0.6086,0.9919,0.6357,0.9896,0.9901
1023,LIM_05-9387,0.6453,0.9922,0.6219,0.9922,0.9922,0.9893,0.9919,0.9901,0.9922,0.9919,0.9919,0.9917,0.9911,0.9919,0.9914,0.9474,0.9919,0.9484,0.9914,0.9919,0.9818,0.9922,0.9833,0.9917,0.9911,0.5792,0.9914,0.5818,0.9909,0.9901
